review,rating,date,bank,source
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia Mobile,Google Play Store
Improved to be the best,5,2025-03-11,Bank of Abyssinia Mobile,Google Play Store
BoA,5,2025-03-11,Bank of Abyssinia Mobile,Google Play Store
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia Mobile,Google Play Store
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia Mobile,Google Play Store
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia Mobile,Google Play Store
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia Mobile,Google Play Store
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia Mobile,Google Play Store
Wonderfull app,5,2025-03-08,Bank of Abyssinia Mobile,Google Play Store
i can't use this app why?,5,2025-03-07,Bank of Abyssinia Mobile,Google Play Store
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia Mobile,Google Play Store
Wow,4,2025-03-05,Bank of Abyssinia Mobile,Google Play Store
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia Mobile,Google Play Store
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia Mobile,Google Play Store
Good app,5,2025-03-03,Bank of Abyssinia Mobile,Google Play Store
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia Mobile,Google Play Store
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia Mobile,Google Play Store
Very poor proformance,1,2025-03-01,Bank of Abyssinia Mobile,Google Play Store
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia Mobile,Google Play Store
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia Mobile,Google Play Store
Not working on this days,1,2025-02-26,Bank of Abyssinia Mobile,Google Play Store
Thank you BoA,5,2025-02-23,Bank of Abyssinia Mobile,Google Play Store
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia Mobile,Google Play Store
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia Mobile,Google Play Store
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of Abyssinia Mobile,Google Play Store
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia Mobile,Google Play Store
The is not functional at all?,2,2025-02-12,Bank of Abyssinia Mobile,Google Play Store
Best bank,5,2025-02-08,Bank of Abyssinia Mobile,Google Play Store
